School Code,School Name,Address,City,State,Zip Code,Country
13624,"BROWN COLLEGE OF COURT REPORTING","1100 SPRING STREET, NW",ATLANTA,GA,30309,USA
14170,"LIFE UNIVERSITY","1269 BARCLAY CIRCLE  SUITE A",MARIETTA,GA,30060,USA
15022,"SAVANNAH COLLEGE OF ART & DESIGN","342 BULL ST",SAVANNAH,GA,31402,USA
15663,"PORTFOLIO CENTER","125 BENNETT STREET, NORTHWEST",ATLANTA,GA,30309,USA
16109,"INTERACTIVE COLLEGE OF TECHNOLOGY","5303 NEW PEACHTREE ROAD",CHAMBLEE,GA,30341,USA
16139,"GWINNETT TECHNICAL COLLEGE","5150 SUGARLOAF PARKWAY",LAWRENCEVILLE,GA,30043,USA
16582,"GEORGIA PIEDMONT TECHNICAL COLLEGE","495 NORTH INDIAN CREEK DRIVE",CLARKSTON,GA,30021,USA
17286,"INTERNATIONAL SCH SKIN & NAILCARE","5600 ROSWELL ROAD NE",ATLANTA,GA,30342,USA
17317,"PAUL MITCHELL THE SCHOOL - ESANI","1003 MANSELL ROAD",ROSWELL,GA,30076,USA
17369,"ATLANTA SCHOOL OF MASSAGE","2 DUNWOODY PARK SOUTH",ATLANTA,GA,30338,USA
25830,"GWINNETT COLLEGE","4230 HIGHWAY 29",LILBURN,GA,30047,USA
30054,"GEORGIA CAREER INSTITUTE","HUNTING CREEK PLAZA",CONYERS,GA,30013,USA
30300,"OGEECHEE TECHNICAL COLLEGE","ONE JOE KENNEDY BLVD",STATESBORO,GA,30458,USA
30665,"SOUTHEASTERN TECHNICAL COLLEGE","3001 E FIRST ST",VIDALIA,GA,30474,USA
30763,"BEULAH HEIGHTS BIBLE COLLEGE","892 BERNE ST SE PO BOX 18145",ATLANTA,GA,30316,USA
30891,"GEORGIA INSTITUTE OF COSMETOLOGY","3529 ATLANTA HIGHWAY",ATHENS,GA,30606,USA
31009,"LUTHER RICE COLLEGE & SEMINARY","3038 EVANS MILL ROAD",LITHONIA,GA,30038,USA
31020,"RIVERTOWN SCHOOL OF BEAUTY","4747-B HAMILTON RD",COLUMBUS,GA,31904,USA
31045,"ATLANTA INSTITUTE OF MUSIC AND MEDIA","2875 BRECKINRIDGE BLVD.",DULUTH,GA,30096,USA
31555,"OCONEE FALL LINE TECHNICAL COLLEGE","1189 DEEPSTEP ROAD",SANDERSVILLE,GA,31082,USA
34183,"GWINNETT COLLEGE","6690 ROSWELL ROAD NE",SANDY SPRINGS,GA,30328,USA
35233,"AVIATION INSTITUTE OF MAINTENANCE","2025 SATELLITE POINTE",DULUTH,GA,30096,USA
36353,"CARVER BIBLE COLLEGE","3870 CASCADE ROAD",ATLANTA,GA,30331,USA
38044,"GWINNETT COLLEGE","1130 NORTHCHASE PARKWAY",MARIETTA,GA,30067,USA
40213,"AUGUSTA SCHOOL OF MASSAGE","608 PONDER PLACE DRIVE",EVANS,GA,30809,USA
41429,"GEORGIA GWINNETT COLLEGE","1000 UNIVERSITY CENTER LANE",LAWRENCEVILLE,GA,30043,USA
41470,"PAUL MITCHELL THE SCHOOL ATLANTA","887 W. MARIETTA STREET",ATLANTA,GA,30318,USA
41477,"LAKE LANIER SCHOOL OF MASSAGE","675 E.E. BUTLER PARKWAY",GAINESVILLE,GA,30501,USA
41499,"PROFILE INSTITUTE OF BARBER-STYLING","26 CLEVELAND AVENUE, SE",ATLANTA,GA,30315,USA
41509,"KEUNE ACADEMY BY 124 LLC","755 LAWRENCEVILLE-SUWANEE ROAD",LAWRENCEVILLE,GA,30043,USA
42038,"WOODRUFF MEDICAL TRAINING AND TESTING","1927 LAKESIDE PARKWAY",TUCKER,GA,30084,USA
42045,"ELAINE STERLING INSTITUTE(THE)","3393 PEACHTREE ROAD NE",ATLANTA,GA,30326,USA
42064,"HELMS COLLEGE","3145 WASHINGTON ROAD",AUGUSTA,GA,30907,USA
42066,"SAE INSTITUTE OF TECHNOLOGY - ATLANTA","215 PEACHTREE STREET NORTHEAST",ATLANTA,GA,30303,USA
42211,"NEW HORIZONS MEDICAL INSTITUTE","5675 JIMMY CARTER BOULEVARD",NORCROSS,GA,30071,USA
42423,"DALTON INSTITUTE OF ESTHETICS AND COSMET","100 WEST WALNUT AVENUE",DALTON,GA,30720,USA
42566,"MAK BEAUTY INSTITUTE","570 LAKELAND PLAZA",CUMMING,GA,30040,USA
42567,"REFORMED UNIVERSITY","1724 ATKINSON ROAD",LAWRENCEVILLE,GA,30043,USA
42600,"INSTITUTE OF MEDICAL ULTRASOUND","817 WEST PEACHTREE STREET",ATLANTA,GA,30308,USA
42646,"HOGAN INSTITUTE OF COSMETOLOGY AND ESTHE","495 INDIAN TRAIL ROAD NORTHWEST",LILBURN,GA,30047,USA
42871,"WEBB'S BARBER SCHOOL OF ARTS","4356 MERCER UNIV DRIVE",MACON,GA,31206,USA
42996,"BEAVER BEAUTY ACADEMY","1999 CANDLER ROAD",DECATUR,GA,30032,USA
43062,"ALBANY BEAUTY ACADEMY","2231 DAWSON ROAD, SUITES I & J",ALBANY,GA,31707,USA
